haul_id	proportion_name	Autumn_%	North_%	Central_%	South_%	Actual_A_count	Actual_N_count	Actual_C_count	Actual_S_count
haul_0107	75A_0N_25C_0S	75	0	25	0	23	0	7	0
haul_0108	75A_0N_25C_0S	75	0	25	0	23	0	7	0
haul_0109	75A_0N_25C_0S	75	0	25	0	23	0	7	0
haul_0110	75A_0N_25C_0S	75	0	25	0	23	0	7	0
haul_0111	75A_0N_0C_25S	75	0	0	25	23	0	0	7
haul_0112	75A_0N_0C_25S	75	0	0	25	23	0	0	7
haul_0113	75A_0N_0C_25S	75	0	0	25	23	0	0	7
haul_0114	75A_0N_0C_25S	75	0	0	25	23	0	0	7
haul_0115	75A_0N_0C_25S	75	0	0	25	23	0	0	7
haul_0116	75A_0N_0C_25S	75	0	0	25	23	0	0	7
haul_0117	75A_0N_0C_25S	75	0	0	25	23	0	0	7
haul_0118	75A_0N_0C_25S	75	0	0	25	23	0	0	7
haul_0119	75A_0N_0C_25S	75	0	0	25	23	0	0	7
haul_0120	75A_0N_0C_25S	75	0	0	25	23	0	0	7
haul_0121	75A_8N_8C_9S	75	8	8	9	23	2	2	3
haul_0122	75A_8N_8C_9S	75	8	8	9	23	2	2	3
haul_0123	75A_8N_8C_9S	75	8	8	9	23	2	2	3
haul_0124	75A_8N_8C_9S	75	8	8	9	23	2	2	3
haul_0125	75A_8N_8C_9S	75	8	8	9	23	2	2	3
haul_0126	75A_8N_8C_9S	75	8	8	9	23	2	2	3
haul_0127	75A_8N_8C_9S	75	8	8	9	23	2	2	3
haul_0128	75A_8N_8C_9S	75	8	8	9	23	2	2	3
haul_0129	75A_8N_8C_9S	75	8	8	9	23	2	2	3
haul_0130	75A_8N_8C_9S	75	8	8	9	23	2	2	3
haul_0131	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0132	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0133	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0134	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0135	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0136	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0137	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0138	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0139	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0140	50A_50N_0C_0S	50	50	0	0	15	15	0	0
haul_0141	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0142	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0143	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0144	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0145	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0146	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0147	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0148	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0149	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0150	50A_0N_50C_0S	50	0	50	0	15	0	15	0
haul_0151	50A_0N_0C_50S	50	0	0	50	15	0	0	15
haul_0152	50A_0N_0C_50S	50	0	0	50	15	0	0	15
